,order_id,order_location_x,order_location_y,has_all_available_products,percentage_availability_of_products,total_weight_of_order,warehouse_location_x,warehouse_location_y,distance_order_from_warehouse,classifier
0,0,340,371,0,0.20026813074565883,419.0,228,140,256.71969149249145,-1
1,1,163,320,0,0.14285714285714285,45.0,228,140,191.3765920900464,-1
2,2,201,331,0,0.29166666666666663,88.0,228,140,192.89893727027115,-1
3,3,257,290,0,0.20321869488536154,702.0,228,140,152.7776161615307,-1
4,4,115,512,0,0.38541666666666663,508.0,228,140,388.7840017284662,-1
5,5,154,147,0,0.125,362.0,228,140,74.33034373659252,-1
6,6,188,326,0,0.2030689407738588,255.0,228,140,190.25246384738358,-1
7,7,210,180,0,0.09659863945578231,590.0,228,140,43.86342439892262,-1
8,8,92,216,0,0.09722222222222221,169.0,228,140,155.79473675320358,-1
9,9,135,190,0,0.2955882352941176,216.0,228,140,105.58882516630251,-1
10,10,254,201,0,0.061111111111111116,367.0,228,140,66.30987860040162,-1
11,11,198,328,1,1.0,22.0,228,140,190.3785702225962,1
12,12,193,254,0,0.1297979797979798,867.0,228,140,119.25183436744275,-1
13,13,259,211,0,0.10396825396825395,409.0,228,140,77.47257579298626,-1
14,14,211,211,0,0.13922743922743921,1085.0,228,140,73.00684899377592,-1
15,15,298,230,0,0.2670138888888889,493.0,228,140,114.0175425099138,-1
16,16,265,417,0,0.21287127721364335,1179.0,228,140,279.46019394539894,-1
17,17,241,301,0,0.21666666666666667,437.0,228,140,161.5239920259526,-1
18,18,252,200,0,0.08333333333333333,78.0,228,140,64.62197768561404,-1
19,19,143,286,0,0.1571428571428571,306.0,228,140,168.94081803992782,-1
20,20,264,236,0,0.27316145451391355,974.0,228,140,102.52804494381037,-1
21,21,56,257,0,0.3125,228.0,228,140,208.02163349036562,-1
22,22,180,348,0,0.19753086419753085,742.0,228,140,213.46662502602135,-1
23,23,299,391,0,0.1700854700854701,738.0,228,140,260.84861510078986,-1
24,24,273,402,0,0.2333333333333333,146.0,228,140,265.8364158650955,-1
25,25,123,358,0,0.21904761904761902,354.0,228,140,241.96900627972997,-1
26,26,293,238,0,0.6726190476190476,181.0,228,140,117.5967686630887,1
27,27,252,275,0,0.17888321995464854,875.0,228,140,137.11673858431726,-1
